Company,Group,Prev Close (Rs),Current Price (Rs),% Change
Pulsar Internati,XT,92.50,97.05,+ 4.92
Le Lavoir,XT,68.05,71.40,+ 4.92
My Money Securit,XT,9.95,10.44,+ 4.92
Beryl Securities,XT,10.56,11.08,+ 4.92
Caspian Corporate Se,X,21.56,22.62,+ 4.92
BSEL Infra. Realty,X,5.08,5.33,+ 4.92
Multipurpose Trading,XT,8.35,8.76,+ 4.91
Escorts Finance,XT,6.72,7.05,+ 4.91
IndiaNivesh,X,56.05,58.80,+ 4.91
Carnation Indust,X,8.16,8.56,+ 4.90
Rama Petrochem,X,4.08,4.28,+ 4.90
Arunjyoti Bio Ventur,XT,183.05,192.00,+ 4.89
Cella Space Ltd.,Z,8.38,8.79,+ 4.89
Adani Enterprises Lt,A,"1,892.10","1,984.60",+ 4.89
ICL Organic Dairy,M,46.53,48.80,+ 4.88
Saffron Industries L,XT,4.30,4.51,+ 4.88
EMA India Ltd.,X,22.15,23.23,+ 4.88
Marsons Ltd.,Z,6.35,6.66,+ 4.88
Vintage Coffee,X,32.45,34.03,+ 4.87
Jetking Infotrain Lt,X,40.05,42.00,+ 4.87
Vivanta Industries,X,8.25,8.65,+ 4.85
Royal India Corp,XT,3.92,4.11,+ 4.85
Indowind Energy Ltd.,B,11.58,12.14,+ 4.84
Maruti Securitie,XT,5.99,6.28,+ 4.84
Ras Resorts,X,32.90,34.49,+ 4.83
S & S Power Switch,T,26.00,27.25,+ 4.81
Disha Resources,X,8.11,8.50,+ 4.81
Wonder Electricals,B,228.05,239.00,+ 4.80
Alkosign Ltd.,M,73.00,76.50,+ 4.79
Mystic Electronics,X,2.92,3.06,+ 4.79
S R Industries L,XT,1.67,1.75,+ 4.79
Shyamkamal Inves,X,3.56,3.73,+ 4.78
Minolta Finance,Z,9.20,9.64,+ 4.78
KJMC Financial Serv.,X,36.27,38.00,+ 4.77
Kuwer Industries,X,7.35,7.70,+ 4.76
Jhaveri Credits,XT,84.00,88.00,+ 4.76
GCM Capital Advisors,M,3.99,4.18,+ 4.76
JR Foods Ltd,XT,3.15,3.30,+ 4.76
Synergy Green Ind,B,135.75,142.20,+ 4.75
Kumbhat Financia,XT,16.84,17.64,+ 4.75
Bombay Talkies Ltd.,XT,3.59,3.76,+ 4.74
Ovobel Foods Ltd,XT,176.40,184.75,+ 4.73
Vakrangee,A,17.11,17.92,+ 4.73
Suryo Foods & In,XT,8.04,8.42,+ 4.73
Raghuvir Synth.,X,113.15,118.50,+ 4.73
Brahmaputra Infra,X,30.50,31.94,+ 4.72
Innovative Ideals,M,2.97,3.11,+ 4.71
AvanceTechnologies,XT,0.85,0.89,+ 4.71
Naturo Indiabull,M,12.56,13.15,+ 4.70
Risa International L,XT,0.64,0.67,+ 4.69
Kaycee Inds.,X,"8,405.90","8,800.00",+ 4.69
IFGL Refractories,B,239.95,251.20,+ 4.69
IITL Projects,X,16.29,17.05,+ 4.67
Sibar Auto Parts,X,7.93,8.30,+ 4.67
Radha Madhav Corpora,Z,2.14,2.24,+ 4.67
TCM Ltd.,XT,37.55,39.30,+ 4.66
Jay Bharat Marut,B,165.25,172.95,+ 4.66
Nidhi Granites L,XT,95.93,100.38,+ 4.64
Amba Enterprises,X,68.01,71.16,+ 4.63
Tips Films,B,412.55,431.65,+ 4.63
Regis Industries,XT,59.26,62.00,+ 4.62
Gogia Capital Servic,XT,77.43,81.00,+ 4.61
Unitech Internationa,X,6.31,6.60,+ 4.60
Rubfila Internationa,X,73.02,76.38,+ 4.60
Guj. Industries,B,92.95,97.23,+ 4.60
Kirloskar Industries,B,"2,579.55","2,698.30",+ 4.60
KBC Global,T,2.18,2.28,+ 4.59
Sarla Performance Fi,B,39.95,41.78,+ 4.58
Worldwide Aluminium,XT,13.39,14.00,+ 4.56
GSFC,A,168.00,175.65,+ 4.55
Gujarat Credit Corp,XT,22.00,23.00,+ 4.55
Indag Rubber,X,147.20,153.90,+ 4.55
G V Films,X,0.44,0.46,+ 4.55
Vision Cinemas L,X,0.88,0.92,+ 4.55
Elecon Engg.,A,436.25,456.00,+ 4.53
Hawa Engineers L,XT,84.17,87.95,+ 4.49
Igarashi Motors Indi,B,395.50,413.25,+ 4.49
Ballarpur Ind.,Z,0.67,0.70,+ 4.48
Gowra Leasing &,XT,20.10,21.00,+ 4.48
Pix Transmission,B,756.10,790.00,+ 4.48
Beeyu Overseas,X,2.01,2.10,+ 4.48
Dhanada Corporation,XT,3.35,3.50,+ 4.48
Prakash Indus.,B,54.68,57.12,+ 4.46
Raghunath Intern,XT,11.66,12.18,+ 4.46
Allied Digital Servi,B,85.43,89.24,+ 4.46
Imagicaaworld Entert,B,44.48,46.46,+ 4.45
Chembond Chemica,B,291.55,304.50,+ 4.44
Transwarranty Financ,B,9.00,9.40,+ 4.44
Taaza International,X,13.50,14.10,+ 4.44
Haria Apparels,X,4.29,4.48,+ 4.43
Ramgopal Polytex,XT,4.31,4.50,+ 4.41
J A Finance,X,38.11,39.79,+ 4.41
Unistar Multimedia,X,27.19,28.39,+ 4.41
Shreyas Intermed,X,8.85,9.24,+ 4.41
Galada Power & T,Z,1.82,1.90,+ 4.40
Syrma SGS Technology,B,288.90,301.60,+ 4.40
Unjha Formulatio,X,13.21,13.79,+ 4.39
Switching Tech.,X,30.04,31.36,+ 4.39
Indostar Capital Fin,T,136.85,142.85,+ 4.38
Wallfort Financi,X,47.90,50.00,+ 4.38
AGI Greenpac,A,552.35,576.50,+ 4.37
KMC Speciality Hospi,B,60.59,63.23,+ 4.36
Frontier Capital,Z,2.99,3.12,+ 4.35
Essar Shipping,B,8.50,8.87,+ 4.35
CARE Ratings,B,658.30,686.95,+ 4.35
Kreon Financial Serv,X,36.43,38.00,+ 4.31
Choksi Lab. Ltd,X,40.88,42.64,+ 4.31
Nelco Ltd,B,595.95,621.65,+ 4.31
MPS Ltd.,B,842.80,879.00,+ 4.30
Anubhav Infrastructu,XT,10.95,11.42,+ 4.29
Polycon Internat,X,14.29,14.90,+ 4.27
Rathi Bars Ltd.,X,24.44,25.48,+ 4.26
DCB Bank,A,111.70,116.45,+ 4.25
Advait Infratech,M,287.75,299.95,+ 4.24
Gala Global Products,X,8.75,9.12,+ 4.23
Ritco Logistics,B,175.00,182.40,+ 4.23
Hindusthan Urban Inf,X,"2,045.00","2,131.40",+ 4.22
Abirami Financia,Z,22.74,23.70,+ 4.22
RTS Power Corpor,X,129.35,134.80,+ 4.21
Greenpanel Industrie,A,317.95,331.35,+ 4.21
Bikaji Foods Inter,B,370.30,385.85,+ 4.20
Filatex Fashions,X,11.90,12.40,+ 4.20
Precision Containeur,XT,1.19,1.24,+ 4.20
Zodiac Energy,B,114.20,119.00,+ 4.20
Money Masters Leasin,M,27.35,28.50,+ 4.20
Diksha Greens,M,2.86,2.98,+ 4.20
HG Infra Engineering,A,910.65,948.80,+ 4.19
Amco India,X,56.12,58.47,+ 4.19
HB Leasing,XT,3.35,3.49,+ 4.18
MediCaps,X,37.77,39.35,+ 4.18
Tirth Plastic Ltd.,XT,0.72,0.75,+ 4.17
Ortel Communications,Z,0.96,1.00,+ 4.17
India Glycols,A,573.05,596.85,+ 4.15
LKP Securities,X,11.82,12.31,+ 4.15
Remsons Industri,B,217.75,226.70,+ 4.11
Aanchal Ispat Ltd.,X,14.61,15.21,+ 4.11
Indiabulls Real Esta,A,55.52,57.80,+ 4.11
Sheshadri Industries,X,14.65,15.25,+ 4.10
Evoq Remedies,M,13.45,14.00,+ 4.09
HMT Ltd.,Z,25.22,26.25,+ 4.08
Motilal Oswal Financ,A,633.75,659.60,+ 4.08
Oswal Agro Mills,B,31.21,32.48,+ 4.07
Panorama Studios Int,X,153.70,159.95,+ 4.07
Real Eco-Energy,XT,30.49,31.73,+ 4.07
Country Club Hospita,B,7.15,7.44,+ 4.06
Jamshri Realty,X,"3,950.00","4,110.00",+ 4.05
Sumeru Industries Lt,XT,1.48,1.54,+ 4.05
Vivo Bio Tech Ltd.,X,22.47,23.38,+ 4.05
TeleCanor Global Ltd,X,6.20,6.45,+ 4.03
Guj. State Finan,T,6.49,6.75,+ 4.01
Landmark Cars,B,644.10,669.90,+ 4.01
TPL Plastech Ltd.,B,32.89,34.21,+ 4.01
Tyche Industries,X,170.95,177.80,+ 4.01
UR Sugar Industries,B,13.21,13.74,+ 4.01
Ceinsys Tech,X,150.85,156.90,+ 4.01
TV Vision,B,2.25,2.34,+ 4.00
Rail Vikas Nigam,A,121.90,126.75,+ 3.98
Raaj Medisafe India,P,44.63,46.40,+ 3.97
